Day,AverageMovement
1,0.4125000000%
2,-0.0383333333%
3,0.4971428571%
4,-0.3300000000%
5,1.5583333333%
6,0.8820000000%
7,-0.0075000000%
8,-0.6420000000%
9,1.1000000000%
10,-0.4428571429%
11,1.2971428571%
12,1.3316666667%
13,-0.4340000000%
14,0.2920000000%
15,0.1114285714%
16,-0.1800000000%
17,0.1737500000%
18,0.6128571429%
19,0.5714285714%
20,0.4250000000%
21,-0.4500000000%
22,-0.9660000000%
23,-0.1450000000%
24,-0.2814285714%
25,0.9771428571%
26,1.0933333333%
27,-1.0200000000%
28,-0.8125000000%
29,-0.0940000000%
30,-0.6700000000%
31,0.1635714286%
32,-0.2683333333%
33,-0.3140000000%
34,0.2400000000%
35,0.0900000000%
36,0.0083333333%
37,-0.5871428571%
38,0.5971428571%
39,-0.1050000000%
40,0.6120000000%
41,0.7475000000%
42,1.2280000000%
43,0.3116666667%
44,0.7725000000%
45,0.0614285714%
46,0.6628571429%
47,-0.3100000000%
48,-0.4200000000%
49,0.1157142857%
50,0.4957142857%
51,-0.2228571429%
52,0.4157142857%
53,0.3516666667%
54,0.0040000000%
55,-1.7250000000%
56,-0.7000000000%
57,-0.2100000000%
58,-0.1142857143%
59,-0.3600000000%
61,0.8271428571%
62,1.4483333333%
63,0.8280000000%
64,2.1260000000%
65,0.6040000000%
66,-1.4383333333%
67,-0.3766666667%
68,-1.2042857143%
69,-6.3916666667%
70,1.6500000000%
71,0.5460000000%
72,-1.3080000000%
73,0.3750000000%
74,-1.4800000000%
75,-1.3700000000%
76,-1.5266666667%
77,-0.0720000000%
78,-5.3660000000%
79,5.3080000000%
80,-1.5800000000%
81,1.6766666667%
82,0.0271428571%
83,0.2083333333%
84,1.2040000000%
85,0.0760000000%
86,-0.5200000000%
87,-0.3100000000%
88,-0.7283333333%
89,0.6150000000%
90,-0.2380000000%
91,-0.0010000000%
92,6.2575000000%
93,3.0716666667%
94,1.0883333333%
95,-0.5000000000%
96,-2.2616666667%
97,-1.9550000000%
98,1.9520000000%
99,-1.9220000000%
100,1.1700000000%
101,-0.3616666667%
102,1.5028571429%
103,0.3633333333%
104,-0.5725000000%
105,-0.4400000000%
106,-0.2580000000%
107,-2.3716666667%
108,0.6866666667%
109,-1.7400000000%
110,-51.6383333333%
111,-25.5760000000%
112,7.6880000000%
113,4.5620000000%
114,0.0616666667%
115,-0.7550000000%
116,-0.4300000000%
117,-3.9016666667%
118,0.9460000000%
119,4.4140000000%
120,4.6780000000%
121,-0.5766666667%
122,-1.5183333333%
123,-0.7471428571%
124,1.2050000000%
125,5.2740000000%
126,-0.2720000000%
127,-0.3180000000%
128,1.2733333333%
129,-0.6416666667%
130,-0.3728571429%
131,0.3150000000%
132,1.4540000000%
133,-0.2240000000%
134,2.3200000000%
135,2.0150000000%
136,0.8333333333%
137,0.6142857143%
138,0.5650000000%
139,0.5680000000%
140,0.4220000000%
141,0.8500000000%
142,-0.8916666667%
143,-1.1450000000%
144,0.6112500000%
145,-1.4216666667%
146,1.3566666667%
147,-0.2600000000%
148,0.5714285714%
149,0.5057142857%
150,-0.9114285714%
151,-0.9430769231%
152,1.5600000000%
153,-0.2180000000%
154,-0.1980000000%
155,0.7800000000%
156,0.5566666667%
157,0.0985714286%
158,-0.3666666667%
159,0.0380000000%
160,0.6100000000%
161,-1.3140000000%
162,-1.1433333333%
163,1.2116666667%
164,-0.9242857143%
165,0.1966666667%
166,1.5360000000%
167,-1.6320000000%
168,1.5450000000%
169,-0.3285714286%
170,0.9483333333%
171,0.6200000000%
172,-0.3466666667%
173,-0.4100000000%
174,-0.1000000000%
175,0.5100000000%
176,1.3700000000%
177,0.9240000000%
178,0.6116666667%
179,0.5450000000%
180,-0.0960000000%
181,1.8450000000%
